mean,std,median,D,xmin,alpha
3.496136144,15.15711696,1,0.009141688,7,2.618042406
3.619523837,18.41159824,1,0.010032531,8,2.54298449
3.525541224,15.77798778,1,0.006796546,7,2.59020642
3.516591852,15.37323205,1,0.007961259,8,2.56109451
3.542076254,16.66843511,1,0.011021936,13,2.520562307
3.380163646,8.15712723,2,0.006522384,8,2.633171735
3.73649071,21.53852835,1,0.008882867,7,2.535552401
3.488919825,14.50121444,1,0.007365556,10,2.621157188
3.463208137,14.12523421,1,0.00558276,9,2.60298768
3.442894483,10.62825704,1,0.006006673,7,2.584694611
3.488578897,11.89083596,1,0.010916801,9,2.627369076
3.524461617,16.28933275,1,0.009614093,11,2.572103138
3.596539576,13.6676512,1,0.009167792,10,2.507915904
3.606312859,18.09070284,1,0.013655406,11,2.542824379
3.612534803,19.1017859,1,0.008507321,7,2.576198568
3.422410364,10.38124284,1,0.007891325,7,2.60809141
3.515142906,12.70721473,1,0.008128377,7,2.600537134
3.604267288,16.24573431,1,0.009269846,7,2.57263934
3.490027842,13.11820622,1,0.011922293,7,2.584485598
3.452980283,9.725898049,1,0.006438183,7,2.582237754
3.553667822,16.38142208,1,0.007491365,10,2.577774295
3.477555543,12.49172437,1,0.007362415,7,2.57458136
3.625745781,18.06202337,1,0.00876279,7,2.528886087
3.467981135,9.60579246,1,0.007583254,9,2.572207637
3.565827604,16.08562535,1,0.012687411,7,2.563875193
3.588527757,13.57452304,1,0.008582943,9,2.52432115
3.489033468,14.09273313,1,0.009529146,12,2.601348541
3.548298199,18.42217055,1,0.004328471,7,2.58518539
3.37269163,10.00383333,1,0.006359213,7,2.626547982
3.484999148,15.28724121,1,0.010811183,7,2.603574775
3.457185067,14.73012811,1,0.006682716,7,2.635796046
3.485794647,10.69311201,1,0.010832032,7,2.60306244
3.409313029,9.23183179,1,0.010767832,12,2.674519748
3.448974374,10.82169023,1,0.007372481,9,2.626117446
3.543724075,16.5434531,1,0.005499076,10,2.57367398
3.570373317,13.8004571,1,0.006278532,8,2.547447798
3.625433263,17.10662334,1,0.010428723,9,2.525769066
3.422012614,11.07087774,1,0.00875891,7,2.608977173
3.514659924,13.4227189,1,0.007857832,7,2.593267334
3.525683277,10.60485149,1,0.008001898,8,2.540449343
3.521109154,14.41290977,1,0.008813571,9,2.599860445
3.525541224,12.15958078,1,0.00621312,9,2.562387416
3.490652878,11.5436904,1,0.011662686,13,2.649992073
3.561736462,14.65948648,1,0.007998736,10,2.591358734
3.431473379,8.853666723,1,0.005750706,7,2.603197052
3.516620263,10.43023271,1,0.009767873,7,2.553565279
3.511989318,11.60873491,1,0.011733564,7,2.577873775
3.486107165,14.63105434,1,0.005443615,7,2.581707002
3.447866356,12.18397412,1,0.007945105,7,2.605703812
3.441275072,10.28208332,1,0.007035001,7,2.600704891
3.420563668,8.945284169,1,0.010365633,8,2.624581096
3.484033184,10.97049663,1,0.012914849,7,2.594847443
3.465537815,12.56396068,1,0.007734008,7,2.608183721
3.506591284,11.85352482,1,0.009639427,8,2.586931512
3.601056878,16.16463121,1,0.011399168,12,2.548061151
3.46130462,10.90606155,1,0.007290926,8,2.582303129
3.543610432,16.12003471,1,0.006573962,8,2.576482635
3.500170464,13.63864155,1,0.009953067,13,2.609511812
3.473208705,14.39786604,1,0.009681518,13,2.638039488
3.366924257,8.747761434,1,0.011092006,9,2.670483318
3.548497074,16.14419927,1,0.007851205,7,2.610113295
3.405562816,10.31819405,1,0.008660572,7,2.63202564
3.395959998,9.928940243,1,0.009243792,7,2.639801775
3.643076311,15.98056679,1,0.009924791,7,2.565804409
3.462696744,10.46761464,1,0.007110151,8,2.630149948
3.511591568,15.33972986,1,0.00556527,7,2.615800306
3.592221149,15.58441994,1,0.008295861,13,2.525026401
3.539604523,12.88184083,1,0.015154693,7,2.591411895
3.489573271,15.7891975,1,0.006588066,8,2.604082938
3.471333598,13.05842816,1,0.005990395,8,2.617047633
3.474345133,15.44107309,1,0.008460658,7,2.614515066
3.443519518,10.98140008,1,0.008776837,7,2.583772237
3.483663845,15.12932874,1,0.012224573,7,2.620524319
3.435053128,11.15898038,1,0.007347925,14,2.69348968
3.475765669,13.01184277,1,0.007304513,9,2.58047666
3.560514802,17.71657413,1,0.011318367,7,2.549986234
3.502216035,12.15212836,1,0.009398317,13,2.598973055
3.522501278,14.12828089,1,0.006935184,7,2.586892868
3.512046139,14.76941198,1,0.004800883,8,2.596160726
3.534490596,12.11137355,1,0.006997574,7,2.560883767
3.555855446,15.89891116,1,0.009702589,7,2.597115103
3.478606739,12.51034391,1,0.015673287,7,2.606773719
3.658105574,17.63561388,1,0.009458544,7,2.544886934
3.590715382,16.40329788,1,0.005959437,9,2.565544815
3.516677084,14.30286134,1,0.00806997,7,2.600119968
3.475140633,11.43259539,2,0.008710719,7,2.608181108
3.486050344,12.88273883,1,0.008304781,7,2.594642931
3.456219103,14.05722805,1,0.006021416,7,2.609665806
3.537587363,13.61079146,1,0.010457071,7,2.581539214
3.445451446,11.2105446,1,0.006951836,10,2.636237849
3.424370703,10.3041592,1,0.007358409,7,2.582565013
3.53988863,13.85881081,1,0.011378241,10,2.555261428
3.412012046,9.992933183,1,0.00959002,8,2.564347674
3.703676345,18.10901899,1,0.012714978,7,2.563454695
3.454684925,11.64497604,1,0.00917791,10,2.542843228
3.526876527,12.55249116,1,0.012424027,7,2.574333119
3.556196375,11.88364612,1,0.009486379,10,2.526921849
3.53585431,15.97322381,1,0.011685878,7,2.564092751
